multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
197,DK414N,2020-05-03,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,29.0,True
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,True
202,6611172,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,True
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,True
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,True
208,VNK296GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,True
209,GN64OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,37.0,True
211,2999961,2022-06-06,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,True
216,M431ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,True
217,B81JKY,2022-08-02,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,True
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,True
221,RFH373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,True
222,XIIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,True
227,CD05601,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,29.0,True
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,True
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,True
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,True
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,True
236,831MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,True
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,True
241,CT5B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,True
243,NHZ1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,True
247,GN64OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,True
248,VY90540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,True
249,6611172,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,True
256,XIIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,True
257,BM351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,True
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,True
262,BHRP770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,True
263,990XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,True
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,True
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,True
285,41RSTZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,True
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,True
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,True
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,True
298,VY90540,2021-09-18,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,True
301,J1S1,1932-01-01,09:13,121.0,80,AV SIEMPRE VIVA,,PAGADA,41.0,True
302,GN64OTP,2021-11-08,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,True
303,CBMUK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,True
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,True
308,FD1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,True
309,VTIIAHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,True
311,CBMUK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,True
315,MPX9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,True
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,True
319,WU341A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,True
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,60.0,True
322,UW3932,2021-07-12,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,True
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,True
325,9999868,2022-12-21,00:00,159.0,80,RUTA 9,R02,ERROR,79.0,True
327,J1S1,2020-02-28,00:00,93.0,40,AV LIBERTADOR,R01,ERROR,53.0,True
328,GN64OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,76.0,True
329,UM96201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,True
332,HK06YMX,2023-10-09,00:00,151.0,80,AV SIEMPRE VIVA,,PAGADA,71.0,True
334,810TCH,2023-08-21,00:00,64.0,40,AV LIBERTADOR,,IMPAGA,24.0,True
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,True
342,6611172,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,True
353,FVIOUHP,2023-02-22,14:12,127.0,80,AV LIBERTADOR,,PAGADA,47.0,True
354,HF58HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,True
356,MX60NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,True
364,HK06YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,50.0,True
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,True
380,691XC80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,True
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,55.0,True
383,0695DVH,2023-12-16,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,23.0,True
387,MX60NZA,2022-11-11,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,65.0,True
388,81ZFJD,2020-11-21,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,79.0,True
389,GE1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,True
392,J1S1,1932-01-01,18:18,134.0,60,RUTA 9,,PAGADA,74.0,True
394,GLEN1E,2023-05-05,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,53.0,True
396,41RSTZ,2022-11-16,14:13,90.0,80,AV LIBERTADOR,,ERROR,10.0,True
397,HF3461,2020-07-01,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,True
399,810TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,29.0,True
400,BM351,2021-01-28,00:00,94.0,60,RUTA 9,,ERROR,34.0,True
402,YLO8WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,59.0,True
404,PIW4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,9.0,True
405,HF58HXP,1932-01-01,09:19,118.0,80,AV SIEMPRE VIVA,,ERROR,38.0,True
406,WU08YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,75.0,True
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,True
408,MVU4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,True
410,UM96201,2023-01-08,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,38.0,True
412,41RSTZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,44.0,True
413,CT5B876,2021-03-23,18:19,104.0,60,AV SIEMPRE VIVA,,PAGADA,44.0,True
414,YLO8WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,True
416,BX55DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,57.0,True
418,WU341A,1932-01-01,09:20,90.0,40,AV SIEMPRE VIVA,R03,ERROR,50.0,True
421,XIIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,True
422,XIIUME,2024-01-17,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,True
424,XIIUME,2023-05-26,14:14,89.0,40,AV LIBERTADOR,R01,ERROR,49.0,True
428,GN64OTP,2023-07-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,True
430,FVIOUHP,2023-11-13,00:00,71.0,40,RUTA 9,,APELADA,31.0,True
431,XIIUME,2020-12-02,18:20,114.0,80,AV LIBERTADOR,,IMPAGA,34.0,True
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,True
433,VY90540,1932-01-01,08:16,66.0,60,RUTA 9,R03,APELADA,6.0,True
434,GLEN1E,2021-11-24,18:20,70.0,60,AV SIEMPRE VIVA,,ERROR,10.0,True
435,T0YDR,2021-10-11,00:00,91.0,60,RUTA 9,R01,PAGADA,31.0,True
437,WU08YWC,1932-01-01,09:21,53.0,40,RUTA 9,R01,ERROR,13.0,True
441,691XC80,2021-08-13,18:21,117.0,60,AV SIEMPRE VIVA,R01,ERROR,57.0,True
444,3646HBH,2022-01-18,00:00,74.0,60,AV LIBERTADOR,R02,PAGADA,14.0,True
445,HAMSTUR,1932-01-01,09:21,72.0,40,AV SIEMPRE VIVA,,ERROR,32.0,True
449,CD05601,2023-09-23,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,True
451,6NCE831,2020-06-21,00:00,160.0,80,AV LIBERTADOR,,APELADA,80.0,True
452,OUTSTDN,2023-07-17,14:14,122.0,80,AV LIBERTADOR,,APELADA,42.0,True
455,HK06YMX,2020-05-14,09:22,82.0,40,AV SIEMPRE VIVA,,ERROR,42.0,True
456,XIIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,True
460,81ZFJD,2021-06-29,18:21,95.0,60,RUTA 9,R02,ERROR,35.0,True
461,M20CPR,1932-01-01,08:16,125.0,80,AV SIEMPRE VIVA,R01,ERROR,45.0,True
464,T0YDR,2022-11-30,18:21,98.0,40,AV LIBERTADOR,,APELADA,58.0,True
467,OUTSTDN,2022-02-14,00:00,146.0,80,AV SIEMPRE VIVA,R01,PAGADA,66.0,True
469,NTHGLFT,2021-04-23,00:00,115.0,80,AV LIBERTADOR,,PAGADA,35.0,True
471,B81JKY,2020-01-11,00:00,84.0,60,AV SIEMPRE VIVA,R03,PAGADA,24.0,True
472,YLO8WUE,2020-04-28,00:00,75.0,40,AV LIBERTADOR,R02,PAGADA,35.0,True
473,2999961,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,True
476,6NCE831,1932-01-01,00:00,106.0,60,AV SIEMPRE VIVA,R03,PAGADA,46.0,True
479,PIW4215,2022-11-03,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,True
481,831MDB,2020-01-06,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,True
482,691XC80,1932-01-01,18:23,106.0,40,RUTA 9,R03,ERROR,66.0,True
484,UM96201,2023-04-14,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,True
486,691XC80,2020-05-20,18:23,92.0,60,AV SIEMPRE VIVA,R01,ERROR,32.0,True
487,NHZ1002,2024-02-06,18:23,93.0,80,AV LIBERTADOR,R01,ERROR,13.0,True
488,6611172,2020-03-31,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,True
490,81ZFJD,2020-04-10,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,True
491,BX55DOG,2023-09-07,09:23,61.0,40,RUTA 9,,PAGADA,21.0,True
492,M431ZW,2020-05-29,09:23,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,True
493,MPX9357,1932-01-01,09:23,80.0,60,AV LIBERTADOR,R02,PAGADA,20.0,True
495,HF3461,2023-09-15,09:24,111.0,80,AV LIBERTADOR,R01,ERROR,31.0,True
497,BB8986,2020-07-14,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,True
498,BX55DOG,2021-01-23,00:00,103.0,60,RUTA 9,R03,APELADA,43.0,True
499,AWS167,2020-02-13,08:17,51.0,40,AV LIBERTADOR,,ERROR,11.0,True
500,GCP332,2020-06-27,00:00,63.0,40,RUTA 9,,PAGADA,23.0,True
505,UM96201,1932-01-01,08:18,131.0,60,RUTA 9,,APELADA,71.0,True
506,691XC80,2023-12-31,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,True
507,CD05601,1932-01-01,18:23,71.0,60,AV LIBERTADOR,R01,ERROR,11.0,True
509,VY90540,2022-09-05,14:16,143.0,80,RUTA 9,,ERROR,63.0,True
513,T0YDR,2020-12-23,18:24,133.0,80,RUTA 9,,PAGADA,53.0,True
514,9999868,2022-02-09,09:24,71.0,40,AV SIEMPRE VIVA,R02,APELADA,31.0,True
515,MX60NZA,1932-01-01,18:24,117.0,80,AV LIBERTADOR,R02,PAGADA,37.0,True
518,GOOGLE,2023-11-12,18:24,146.0,80,AV SIEMPRE VIVA,R01,APELADA,66.0,True
519,WU08YWC,2022-10-15,08:18,100.0,40,AV LIBERTADOR,R01,IMPAGA,60.0,True
524,HF3461,2020-01-28,18:24,87.0,80,AV LIBERTADOR,R03,IMPAGA,7.0,True
526,FD1475,2022-07-30,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,True
527,J1S1,1932-01-01,18:24,158.0,80,RUTA 9,R02,ERROR,78.0,True
533,VNK296GP,1932-01-01,09:25,120.0,60,RUTA 9,R02,ERROR,60.0,True
536,HAMSTUR,1932-01-01,08:19,47.0,40,AV SIEMPRE VIVA,R02,PAGADA,7.0,True
539,OUTSTDN,2023-08-19,09:25,85.0,60,AV LIBERTADOR,,IMPAGA,25.0,True
541,WEFLYN,2020-06-25,08:19,118.0,40,RUTA 9,R03,APELADA,78.0,True
544,VY90540,2022-09-15,18:25,101.0,80,AV SIEMPRE VIVA,,ERROR,21.0,True
545,WEFLYN,1932-01-01,09:25,81.0,60,AV SIEMPRE VIVA,R01,IMPAGA,21.0,True
550,FVIOUHP,1932-01-01,08:20,75.0,60,RUTA 9,,IMPAGA,15.0,True
551,MX60NZA,2020-01-22,00:00,90.0,60,RUTA 9,R02,IMPAGA,30.0,True
553,DK414N,1932-01-01,09:26,55.0,40,AV SIEMPRE VIVA,R02,ERROR,15.0,True
555,HAMSTUR,2023-02-19,14:18,98.0,40,AV LIBERTADOR,R01,APELADA,58.0,True
557,VTIIAHV,2022-01-26,00:00,52.0,40,AV LIBERTADOR,,PAGADA,12.0,True
561,TL03GOG,2022-06-06,00:00,116.0,80,RUTA 9,,APELADA,36.0,True
564,6611172,1932-01-01,14:18,118.0,80,AV LIBERTADOR,R03,APELADA,38.0,True
565,6NCE831,2021-12-16,14:19,134.0,80,AV LIBERTADOR,R02,APELADA,54.0,True
568,BHRP770,2022-09-06,08:20,153.0,80,RUTA 9,R03,ERROR,73.0,True
569,FD1475,2022-02-23,09:26,132.0,60,AV SIEMPRE VIVA,,APELADA,72.0,True
571,FVIOUHP,1932-01-01,09:26,87.0,60,RUTA 9,R01,IMPAGA,27.0,True
574,GE1466,1932-01-01,18:26,78.0,60,RUTA 9,R01,APELADA,18.0,True
576,B81JKY,2021-07-17,14:19,80.0,40,AV LIBERTADOR,R02,ERROR,40.0,True
578,HF3461,1932-01-01,09:27,126.0,80,AV SIEMPRE VIVA,R02,APELADA,46.0,True
579,BX55DOG,2021-06-20,09:27,139.0,60,RUTA 9,,PAGADA,79.0,True
581,8B90638,2021-11-17,18:26,107.0,60,AV LIBERTADOR,R03,APELADA,47.0,True
582,INTIGR8,2020-06-14,14:20,95.0,60,AV SIEMPRE VIVA,R01,APELADA,35.0,True
583,DK414N,2020-07-04,08:21,76.0,60,AV SIEMPRE VIVA,R03,APELADA,16.0,True
587,HF3461,2021-04-15,00:00,100.0,40,AV SIEMPRE VIVA,R01,PAGADA,60.0,True
589,J1S1,1932-01-01,09:27,145.0,80,RUTA 9,,PAGADA,65.0,True
593,B81JKY,2022-06-01,18:27,141.0,80,AV SIEMPRE VIVA,R02,PAGADA,61.0,True
600,WEFLYN,2021-01-16,14:20,153.0,80,AV LIBERTADOR,R03,IMPAGA,73.0,True
605,MX60NZA,2020-11-18,14:20,105.0,60,AV LIBERTADOR,,PAGADA,45.0,True
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,True
610,M20CPR,2020-09-20,14:21,85.0,80,AV SIEMPRE VIVA,,ERROR,5.0,True
612,HAMSTUR,2024-01-26,09:28,109.0,60,AV SIEMPRE VIVA,,IMPAGA,49.0,True
613,T0YDR,1932-01-01,08:22,111.0,80,AV LIBERTADOR,R03,APELADA,31.0,True
615,GOOGLE,1932-01-01,18:28,116.0,80,RUTA 9,R03,APELADA,36.0,True
616,HF58HXP,2022-10-22,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,True
622,VNK296GP,2020-06-03,09:29,69.0,40,AV LIBERTADOR,,ERROR,29.0,True
624,41RSTZ,1932-01-01,08:23,140.0,80,AV LIBERTADOR,R01,ERROR,60.0,True
625,VTIIAHV,1932-01-01,09:29,97.0,80,AV LIBERTADOR,R01,APELADA,17.0,True
626,589222,1932-01-01,09:29,131.0,80,AV SIEMPRE VIVA,R02,PAGADA,51.0,True
627,M431ZW,1932-01-01,18:28,146.0,80,AV SIEMPRE VIVA,R02,ERROR,66.0,True
629,FVIOUHP,1932-01-01,00:00,88.0,40,AV SIEMPRE VIVA,R02,APELADA,48.0,True
636,BB8986,1932-01-01,00:00,101.0,60,RUTA 9,R03,ERROR,41.0,True
637,FVIOUHP,2021-03-30,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,True
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,True
643,YLO8WUE,2023-02-02,14:22,87.0,60,AV SIEMPRE VIVA,R02,PAGADA,27.0,True
644,VNK296GP,2022-09-18,18:29,116.0,40,RUTA 9,R03,ERROR,76.0,True
647,HK06YMX,2020-09-30,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,True
648,TL03GOG,2022-02-14,09:30,85.0,60,RUTA 9,R03,IMPAGA,25.0,True
649,5777770,2023-12-25,09:30,104.0,60,RUTA 9,,IMPAGA,44.0,True
650,NTHGLFT,2020-06-14,00:00,86.0,80,AV LIBERTADOR,R03,PAGADA,6.0,True
651,6NCE831,2022-09-17,09:30,93.0,60,AV LIBERTADOR,,PAGADA,33.0,True
652,HAMSTUR,2022-06-10,14:22,75.0,40,AV SIEMPRE VIVA,R03,PAGADA,35.0,True
654,OUTSTDN,2023-09-12,18:30,53.0,40,RUTA 9,R03,ERROR,13.0,True
655,MPX9357,2021-11-19,14:22,137.0,80,AV SIEMPRE VIVA,,PAGADA,57.0,True
